N,N_pos,N_neg,ratio,disc_pos,disc_neg,a,b,mcnemar_reject_rate,stratified_reject_rate,mcnemar_se,stratified_se,mcnemar_var_mean,stratified_var_mean,var_ratio_mean,var_ratio_std,power_diff,n_sim,part,part_name,effect_type,ab_squared,delta_acc_true,expected_disc_count
5000,2500,2500,1.0,0.5,0.5,0.0,-0.0,0.0502,0.05028,0.00097652403964265,0.0009772606776085899,0.00010000082559999999,9.996077066751999e-05,1.0004008482629145,0.00040204551733873095,7.999999999999674e-05,50000,1,Hetero_Disc0.5,ab_sq_0.0,0.0,0.0,
5000,2500,2500,1.0,0.5,0.5,0.05,-0.05,0.04918,0.04996,0.0009670711204456475,0.0009743099958432121,9.999128719999999e-05,9.945019081183998e-05,1.0054442763325915,0.0020569435558551318,0.000779999999999996,50000,1,Hetero_Disc0.5,ab_sq_0.01,0.01,0.0,
5000,2500,2500,1.0,0.5,0.5,0.1,-0.1,0.04762,0.04994,0.0009523899999475004,0.0009741252116642912,0.0001000069008,9.796522558016e-05,1.020853203635839,0.004128691970204188,0.0023199999999999957,50000,1,Hetero_Disc0.5,ab_sq_0.04,0.04,0.0,
5000,2500,2500,1.0,0.5,0.5,0.15,-0.15,0.0443,0.04932,0.0009201903064040612,0.0009683753156705307,0.00010000080639999999,9.545975741312001e-05,1.0475988708002866,0.0063313027959221784,0.005020000000000004,50000,1,Hetero_Disc0.5,ab_sq_0.09,0.09,0.0,
5000,2500,2500,1.0,0.5,0.5,0.2,-0.2,0.04166,0.05088,0.0008935820544303696,0.000982763711173749,9.999562e-05,9.196005575264e-05,1.087433259978124,0.008815342595473757,0.009219999999999999,50000,1,Hetero_Disc0.5,ab_sq_0.16,0.16,0.0,
5000,2500,2500,1.0,0.5,0.5,0.25,-0.25,0.0363,0.05072,0.0008364485638698891,0.0009812999704473652,0.00010000120559999999,8.747045224287997e-05,1.1433409411683324,0.01158046793878958,0.014420000000000002,50000,1,Hetero_Disc0.5,ab_sq_0.25,0.25,0.0,
50,25,25,1.0,0.1,0.1,0.0,-0.0,0.0476,0.06074,0.0009521999789960091,0.0010681821230483124,0.0020106921778277995,0.0019302278318192782,1.0431371619902874,0.039178317833177025,0.013139999999999999,50000,2,Disc_x_Hetero,disc_0.1_ab_0.0,0.0,0.0,
50,25,25,1.0,0.2,0.2,0.0,-0.0,0.04274,0.0703,0.0009045804817704172,0.0011433101941293099,0.00399948,0.00384033536,1.0431955353083577,0.043666885763839924,0.02756,50000,2,Disc_x_Hetero,disc_0.2_ab_0.0,0.0,0.0,
50,25,25,1.0,0.3,0.3,0.0,-0.0,0.04734,0.06344,0.0009497254803362917,0.0010900951004384892,0.005993775999999999,0.005753186559999999,1.043595861451273,0.04488046340260361,0.016099999999999996,50000,2,Disc_x_Hetero,disc_0.3_ab_0.0,0.0,0.0,
50,25,25,1.0,0.4,0.4,0.0,-0.0,0.05136,0.0601,0.0009871387987512193,0.001062901594692566,0.007993344000000001,0.007674258559999999,1.043395230958955,0.045468791695437764,0.008739999999999998,50000,2,Disc_x_Hetero,disc_0.4_ab_0.0,0.0,0.0,
50,25,25,1.0,0.5,0.5,0.0,-0.0,0.05336,0.06168,0.00100511402736207,0.0010758771082237972,0.010003639999999998,0.009603071999999999,1.0435924619968986,0.046029081284399885,0.008320000000000001,50000,2,Disc_x_Hetero,disc_0.5_ab_0.0,0.0,0.0,
50,25,25,1.0,0.1,0.1,0.05,-0.05,0.04494,0.05836,0.0009265030642151164,0.0010483712166975971,0.0020108388445534407,0.0018826590548173758,1.0656824974458863,0.05274810442826833,0.013420000000000001,50000,2,Disc_x_Hetero,disc_0.1_ab_0.01,0.01,0.0,
50,25,25,1.0,0.2,0.2,0.05,-0.05,0.04146,0.0707,0.0008915275475272763,0.0011463115632322654,0.004008368167363347,0.0038002430448608967,1.0563017949987552,0.05438982701477572,0.029240000000000002,50000,2,Disc_x_Hetero,disc_0.2_ab_0.01,0.01,0.0,
50,25,25,1.0,0.3,0.3,0.05,-0.05,0.04666,0.06324,0.0009432162466794134,0.0010884916389205753,0.006000488000000002,0.005712526079999999,1.0525377994179774,0.05354465038032305,0.016580000000000004,50000,2,Disc_x_Hetero,disc_0.3_ab_0.01,0.01,0.0,
50,25,25,1.0,0.4,0.4,0.05,-0.05,0.05068,0.0606,0.000980933612432564,0.0010670298964883787,0.007994847999999999,0.007628906239999999,1.0501151976784064,0.052201790047382395,0.009919999999999998,50000,2,Disc_x_Hetero,disc_0.4_ab_0.01,0.01,0.0,
50,25,25,1.0,0.5,0.5,0.05,-0.05,0.05152,0.0599,0.000988591822745869,0.0010612444581716317,0.010001456,0.009554485120000001,1.0489482453879386,0.05162452259535567,0.008379999999999999,50000,2,Disc_x_Hetero,disc_0.5_ab_0.01,0.01,0.0,
50,25,25,1.0,0.1,0.1,0.1,-0.1,0.03792,0.04842,0.0008541905361217719,0.0009599531613573653,0.002005397578731448,0.0017329899046776335,1.1379755394018156,0.06301699902760217,0.010499999999999995,50000,2,Disc_x_Hetero,disc_0.1_ab_0.04,0.04,0.0,
50,25,25,1.0,0.2,0.2,0.1,-0.1,0.03792,0.0672,0.0008541905361217719,0.0011196799542726483,0.003993887877757556,0.003640892017840357,1.0972084243182474,0.07759723785103213,0.029279999999999994,50000,2,Disc_x_Hetero,disc_0.2_ab_0.04,0.04,0.0,
50,25,25,1.0,0.3,0.3,0.1,-0.1,0.0445,0.06308,0.0009221686396749784,0.001087206637213,0.005997512,0.00556424576,1.0806408309360798,0.07379710783227668,0.01858,50000,2,Disc_x_Hetero,disc_0.3_ab_0.04,0.04,0.0,
50,25,25,1.0,0.4,0.4,0.1,-0.1,0.0503,0.06266,0.0009774447298952508,0.0010838240115443097,0.008002919999999998,0.007492255359999999,1.071349181803112,0.06895652053959449,0.012359999999999996,50000,2,Disc_x_Hetero,disc_0.4_ab_0.04,0.04,0.0,
50,25,25,1.0,0.5,0.5,0.1,-0.1,0.05148,0.06162,0.0009882288156090168,0.0010753880750687167,0.009995536000000001,0.009402736639999998,1.0663250876637649,0.06664946036967781,0.010140000000000003,50000,2,Disc_x_Hetero,disc_0.5_ab_0.04,0.04,0.0,
50,25,25,1.0,0.2,0.2,0.15,-0.15,0.03202,0.06392,0.0007873337233981534,0.0010939308351079606,0.004002512050241005,0.003408946898937979,1.1698666130947102,0.09863279406189628,0.031900000000000005,50000,2,Disc_x_Hetero,disc_0.2_ab_0.09,0.09,0.0,
50,25,25,1.0,0.3,0.3,0.15,-0.15,0.04038,0.0637,0.0008803346590927794,0.0010921749859798108,0.006003264,0.00533191232,1.129481765259416,0.09848727357007936,0.023320000000000007,50000,2,Disc_x_Hetero,disc_0.3_ab_0.09,0.09,0.0,
50,25,25,1.0,0.4,0.4,0.15,-0.15,0.04532,0.06076,0.0009302268282521204,0.0010683465954455043,0.008009816000000001,0.007250353280000001,1.1095674568395837,0.0926900977930801,0.015440000000000002,50000,2,Disc_x_Hetero,disc_0.4_ab_0.09,0.09,0.0,
50,25,25,1.0,0.5,0.5,0.15,-0.15,0.04856,0.06126,0.0009612692276360458,0.0010724477833442521,0.00999956,0.00916424384,1.0962211635579964,0.08724727632337673,0.012700000000000003,50000,2,Disc_x_Hetero,disc_0.5_ab_0.09,0.09,0.0,
50,25,25,1.0,0.2,0.2,0.2,-0.2,0.0261,0.0621,0.0007130047685675041,0.0010792922681090605,0.0040050960000000005,0.0030739737600000002,1.2845241394153797,0.10206452235728335,0.036000000000000004,50000,2,Disc_x_Hetero,disc_0.2_ab_0.16,0.16,0.0,
50,25,25,1.0,0.3,0.3,0.2,-0.2,0.03316,0.0617,0.0008007548239005494,0.0010760400550165407,0.006005592000000001,0.00499299904,1.2058654642560356,0.12478414980993836,0.028539999999999996,50000,2,Disc_x_Hetero,disc_0.3_ab_0.16,0.16,0.0,
50,25,25,1.0,0.4,0.4,0.2,-0.2,0.04036,0.05922,0.0008801257910094443,0.0010555850662073616,0.007998504,0.006914104959999999,1.1639421206693816,0.12012859604263565,0.018860000000000002,50000,2,Disc_x_Hetero,disc_0.4_ab_0.16,0.16,0.0,
50,25,25,1.0,0.5,0.5,0.2,-0.2,0.0423,0.06058,0.0009001189921338178,0.001066865161114562,0.010001144,0.008835537919999999,1.1396330956354959,0.11212693844179365,0.018280000000000005,50000,2,Disc_x_Hetero,disc_0.5_ab_0.16,0.16,0.0,
50,25,25,1.0,0.3,0.3,0.25,-0.25,0.02562,0.0634,0.0007065920407137347,0.0010897746556054605,0.0060032,0.004561785600000001,1.315175915059855,0.14716832705687602,0.037779999999999994,50000,2,Disc_x_Hetero,disc_0.3_ab_0.25,0.25,0.0,
50,25,25,1.0,0.4,0.4,0.25,-0.25,0.03496,0.06052,0.0008214353096866484,0.001066370757288477,0.008003264,0.006480639359999999,1.244624581818261,0.15152153979278538,0.02556,50000,2,Disc_x_Hetero,disc_0.4_ab_0.25,0.25,0.0,
50,25,25,1.0,0.5,0.5,0.25,-0.25,0.03976,0.0608,0.0008738322768128904,0.0010686754418437808,0.009993976,0.0083958624,1.2017254507098016,0.14279347408495185,0.021040000000000003,50000,2,Disc_x_Hetero,disc_0.5_ab_0.25,0.25,0.0,
100,50,50,1.0,0.1,0.1,0.0,-0.0,0.04368,0.05074,0.0009140246998850743,0.0009814830859469765,0.0009996780000000002,0.00097959316,1.0208849068932155,0.02018880395398968,0.007060000000000004,50000,2,Disc_x_Hetero,disc_0.1_ab_0.0,0.0,0.0,
100,50,50,1.0,0.2,0.2,0.0,-0.0,0.05292,0.05472,0.0010011940231543534,0.0010171108258198807,0.001998742,0.00195869924,1.0208807748848578,0.020991582447279406,0.001799999999999996,50000,2,Disc_x_Hetero,disc_0.2_ab_0.0,0.0,0.0,
100,50,50,1.0,0.3,0.3,0.0,-0.0,0.05254,0.0548,0.000997793048682942,0.001017810984417048,0.0030000199999999995,0.0029401075999999993,1.0207937673361835,0.020920795646982373,0.002259999999999998,50000,2,Disc_x_Hetero,disc_0.3_ab_0.0,0.0,0.0,
100,50,50,1.0,0.4,0.4,0.0,-0.0,0.04892,0.05432,0.0009646432874384188,0.001013600883977515,0.00399937,0.003919686920000001,1.020755199615475,0.021232706112556187,0.005400000000000002,50000,2,Disc_x_Hetero,disc_0.4_ab_0.0,0.0,0.0,
100,50,50,1.0,0.5,0.5,0.0,-0.0,0.05036,0.05584,0.000977996629851044,0.0010268582609104335,0.0049964580000000005,0.00489621468,1.0209149488891822,0.021422476442325387,0.005479999999999999,50000,2,Disc_x_Hetero,disc_0.5_ab_0.0,0.0,0.0,
100,50,50,1.0,0.1,0.1,0.05,-0.05,0.04124,0.0568,0.0008892610685282472,0.0010351208625083354,0.0009981179247169887,0.0009537150686027442,1.0451878199945799,0.034228939752978915,0.015560000000000004,50000,2,Disc_x_Hetero,disc_0.1_ab_0.01,0.01,0.0,
100,50,50,1.0,0.2,0.2,0.05,-0.05,0.05126,0.05458,0.0009862293080212126,0.001015884083938714,0.0020042199999999997,0.0019398734400000001,1.0335474794501176,0.030851166957565363,0.0033199999999999966,50000,2,Disc_x_Hetero,disc_0.2_ab_0.01,0.01,0.0,
100,50,50,1.0,0.3,0.3,0.05,-0.05,0.0513,0.05436,0.0009865932292490154,0.0010139525669379216,0.0030029880000000003,0.00291881952,1.0293866826560654,0.028630570393229582,0.0030600000000000002,50000,2,Disc_x_Hetero,disc_0.3_ab_0.01,0.01,0.0,
100,50,50,1.0,0.4,0.4,0.05,-0.05,0.04918,0.05584,0.0009670711204456475,0.0010268582609104335,0.0039989859999999995,0.0038942643599999996,1.027499485263388,0.027531029450859203,0.006659999999999999,50000,2,Disc_x_Hetero,disc_0.4_ab_0.01,0.01,0.0,
100,50,50,1.0,0.5,0.5,0.05,-0.05,0.04972,0.05588,0.000972089724253888,0.0010272042211751274,0.0049995099999999995,0.004875370039999999,1.0260362468936775,0.026038190652543487,0.006159999999999999,50000,2,Disc_x_Hetero,disc_0.5_ab_0.01,0.01,0.0,
100,50,50,1.0,0.1,0.1,0.1,-0.1,0.03386,0.05818,0.0008088695865218323,0.0010468532619235611,0.001001642032840657,0.0008833073861477229,1.1241625535959479,0.04115635991956922,0.02432,50000,2,Disc_x_Hetero,disc_0.1_ab_0.04,0.04,0.0,
100,50,50,1.0,0.2,0.2,0.1,-0.1,0.04594,0.05274,0.0009362640268642175,0.0009995848378201821,0.002002664,0.0018645174399999995,1.07393221945227,0.04943007957079287,0.0068000000000000005,50000,2,Disc_x_Hetero,disc_0.2_ab_0.04,0.04,0.0,
100,50,50,1.0,0.3,0.3,0.1,-0.1,0.0481,0.05488,0.0009569366750208709,0.0010185105360279783,0.0030005080000000003,0.0028415008000000005,1.0569016566445755,0.044880830701754006,0.006780000000000001,50000,2,Disc_x_Hetero,disc_0.3_ab_0.04,0.04,0.0,
100,50,50,1.0,0.4,0.4,0.1,-0.1,0.04536,0.0543,0.0009306177561168711,0.001013424984890347,0.00400016,0.00382429496,1.0470070996003458,0.04008147755897154,0.008940000000000003,50000,2,Disc_x_Hetero,disc_0.4_ab_0.04,0.04,0.0,
100,50,50,1.0,0.5,0.5,0.1,-0.1,0.047,0.05482,0.0009464776806665861,0.0010179859291758408,0.005000236,0.0048005724,1.0426965481556405,0.038132430243624844,0.00782,50000,2,Disc_x_Hetero,disc_0.5_ab_0.04,0.04,0.0,
100,50,50,1.0,0.2,0.2,0.15,-0.15,0.03814,0.0521,0.0008565668730461154,0.0009938369081494206,0.002003852,0.0017433037599999996,1.1473236494187853,0.06619303782660985,0.01396,50000,2,Disc_x_Hetero,disc_0.2_ab_0.09,0.09,0.0,
100,50,50,1.0,0.3,0.3,0.15,-0.15,0.04366,0.05546,0.0009138249766777006,0.0010235642471286305,0.00300106,0.0027214570400000008,1.1041120340442374,0.06341925674048722,0.011800000000000005,50000,2,Disc_x_Hetero,disc_0.3_ab_0.09,0.09,0.0,
100,50,50,1.0,0.4,0.4,0.15,-0.15,0.0414,0.05368,0.0008909100964743862,0.0010079529512829455,0.004000598,0.00369779228,1.08379332809514,0.058052102375595264,0.01228,50000,2,Disc_x_Hetero,disc_0.4_ab_0.09,0.09,0.0,
