N,N_pos,N_neg,ratio,disc_pos,disc_neg,a,b,ab_squared,delta_BA_true,reject_rate,reject_se,z_mean,z_std,var_BA_mean,delta_BA_mean,delta_BA_std,n_sim,part,part_name,type,effect_type,expected_disc_count,N_minority
50,25,25,1.0,0.5,0.5,0.1,0.1,0.0,0.1,0.1949,0.0017715190656608809,1.045278735089396,1.0603414385044037,0.00939892032,0.0994192,0.09921700797423798,50000,3,Power_Ratio,Power,ratio=1.0_dBA=0.10,,
50,25,25,1.0,0.5,0.5,0.15,0.15,0.0,0.15,0.3569,0.002142533033584313,1.5915074631028079,1.073080893542631,0.009164361599999999,0.14949479999999998,0.09746646999332642,50000,3,Power_Ratio,Power,ratio=1.0_dBA=0.15,,
50,25,25,1.0,0.5,0.5,0.2,0.2,0.0,0.2,0.56202,0.002218799313142133,2.1659116914653245,1.101367710054574,0.008828846720000002,0.1996832,0.09599847726792336,50000,3,Power_Ratio,Power,ratio=1.0_dBA=0.20,,
50,17,33,0.5,0.5,0.5,0.05,0.05,0.0,0.05,0.0938,0.0013038524456394595,0.5027995164515633,1.0625515201294458,0.010533062123931616,0.05030139037433154,0.10528042298118767,50000,3,Power_Ratio,Power,ratio=0.5_dBA=0.05,,
50,17,33,0.5,0.5,0.5,0.1,0.1,0.0,0.1,0.1831,0.0017295918015531873,1.00652701481591,1.0737947327825537,0.010377528566129881,0.09998590017825314,0.10444030381540337,50000,3,Power_Ratio,Power,ratio=0.5_dBA=0.10,,
50,17,33,0.5,0.5,0.5,0.15,0.15,0.0,0.15,0.33032,0.0021033720431725814,1.5263423589811056,1.0916599359468382,0.010113879862389619,0.1496665062388592,0.102715347655077,50000,3,Power_Ratio,Power,ratio=0.5_dBA=0.15,,
50,17,33,0.5,0.5,0.5,0.2,0.2,0.0,0.2,0.52812,0.002232528905076035,2.0843342777055254,1.1203751259586614,0.009744053899285642,0.20058597147950089,0.1008558688936462,50000,3,Power_Ratio,Power,ratio=0.5_dBA=0.20,,
50,12,38,0.3,0.5,0.5,0.05,0.05,0.0,0.05,0.09828,0.0013313229630709448,0.46242010219737667,1.1025065546932302,0.012694363539827369,0.04997333333333333,0.11676688554572845,50000,3,Power_Ratio,Power,ratio=0.3_dBA=0.05,,
50,12,38,0.3,0.5,0.5,0.1,0.1,0.0,0.1,0.17412,0.0016958904775957674,0.9326850202084402,1.1148955757741457,0.012520428796748527,0.10021122807017543,0.11582439453928041,50000,3,Power_Ratio,Power,ratio=0.3_dBA=0.10,,
50,12,38,0.3,0.5,0.5,0.15,0.15,0.0,0.15,0.29862,0.002046685591877756,1.4208442605672977,1.1503891071501262,0.012172846659042863,0.15031706140350876,0.11489573363820851,50000,3,Power_Ratio,Power,ratio=0.3_dBA=0.15,,
50,12,38,0.3,0.5,0.5,0.2,0.2,0.0,0.2,0.46208,0.00222962810172459,1.9212577508892479,1.1766524163043122,0.011729136256668719,0.1994927192982456,0.11201545086969517,50000,3,Power_Ratio,Power,ratio=0.3_dBA=0.20,,
50,8,42,0.2,0.5,0.5,0.05,0.05,0.0,0.05,0.11794,0.001442429592042537,0.42850708497182716,1.1900901915095978,0.016527012829127188,0.05112517857142857,0.1368515228598745,50000,3,Power_Ratio,Power,ratio=0.2_dBA=0.05,,
50,8,42,0.2,0.5,0.5,0.1,0.1,0.0,0.1,0.17102,0.00168387742784325,0.8460598628515049,1.1993369867095651,0.016245469892011866,0.09991648809523809,0.1344488803332724,50000,3,Power_Ratio,Power,ratio=0.2_dBA=0.10,,
50,8,42,0.2,0.5,0.5,0.15,0.15,0.0,0.15,0.26754,0.001979708808890843,1.2889696508950217,1.240629036781219,0.015832081558627916,0.1505052976190476,0.13378706448736408,50000,3,Power_Ratio,Power,ratio=0.2_dBA=0.15,,
50,8,42,0.2,0.5,0.5,0.2,0.2,0.0,0.2,0.39594,0.002187105467964451,1.7471128367892304,1.2921440914181506,0.015199325652011797,0.19965392857142855,0.13121262259873295,50000,3,Power_Ratio,Power,ratio=0.2_dBA=0.20,,
50,5,45,0.1,0.5,0.5,0.05,0.05,0.0,0.05,0.1544,0.0016159247507232506,0.3858932494038679,1.398988934271439,0.02257797015089163,0.049639555555555555,0.16764450470070794,50000,3,Power_Ratio,Power,ratio=0.1_dBA=0.05,,
50,5,45,0.1,0.5,0.5,0.1,0.1,0.0,0.1,0.19618,0.0017759133289662534,0.7817909182851531,1.4259001673053875,0.022316471659807952,0.09954222222222223,0.16480355030336147,50000,3,Power_Ratio,Power,ratio=0.1_dBA=0.10,,
50,5,45,0.1,0.5,0.5,0.15,0.15,0.0,0.15,0.27668,0.002000640785348534,1.1945658232878011,1.4935419223604016,0.021716107105624136,0.15038022222222222,0.16311581471858774,50000,3,Power_Ratio,Power,ratio=0.1_dBA=0.15,,
50,5,45,0.1,0.5,0.5,0.2,0.2,0.0,0.2,0.37666,0.002166966748245113,1.6206633640375274,1.5773701994510132,0.020854728340192037,0.20012600000000003,0.15978453524746042,50000,3,Power_Ratio,Power,ratio=0.1_dBA=0.20,,
100,50,50,1.0,0.5,0.5,0.05,0.05,0.0,0.05,0.1183,0.0014443345180393634,0.7234268044167731,1.028137114276883,0.00487383748,0.0500466,0.07080641092754243,50000,3,Power_Ratio,Power,ratio=1.0_dBA=0.05,,
